index,pick,player,position,team,bidder,amount
"192","1","M. Ryan","QB","","broadwayed","1"
"191","2","T. Kelce","TE","","getbiggs","42"
"190","3","J. Jefferson","WR","","squeege8","65"
"189","4","C. McCaffrey","RB","","lmamut925","63"
"188","5","A. Ekeler","RB","","lmamut925","59"
"187","6","J. Chase","WR","","squeege8","56"
"186","7","S. Barkley","RB","","jonjak","50"
"185","8","T. Hill","WR","","squeege8","56"
"184","9","A. Brown","WR","","DannyTheSwift","46"
"183","10","N. Chubb","RB","","eqengineering","57"
"182","11","B. Robinson","RB","","broadwayed","50"
"181","12","P. Mahomes","QB","","vrael28","40"
"180","13","C. Lamb","WR","","DannyTheSwift","39"
"179","14","D. Adams","WR","","Nunchuker","44"
"178","15","A. St. Brown","WR","","vrael28","40"
"177","16","S. Diggs","WR","","jonjak","49"
"176","17","D. Henry","RB","","getbiggs","50"
"175","18","G. Wilson","WR","","broadwayed","38"
"174","19","N. Harris","RB","","vrael28","33"
"173","20","J. Taylor","RB","","eqengineering","31"
"172","21","C. Kupp","WR","","klulaj","47"
"171","22","B. Hall","RB","","broadwayed","23"
"170","23","J. Tucker","K","","klulaj","4"
"169","24","J. Allen","QB","","eqengineering","32"
"168","25","J. Jacobs","RB","","eqengineering","41"
"167","26","M. Andrews","TE","","broadwayed","27"
"166","27","T. Pollard","RB","","Nunchuker","50"
"165","28","J. Hurts","QB","","getbiggs","37"
"164","29","T. Higgins","WR","","Nunchuker","26"
"163","30","J. Waddle","WR","","Hurwitz","35"
"162","31","T. Etienne","RB","","klulaj","36"
"161","32","D. Cook","RB","","vrael28","10"
"160","33","C. Olave","WR","","Crogkiller","33"
"159","34","D. Swift","RB","","DannyTheSwift","13"
"158","35","D. Smith","WR","","getbiggs","27"
"157","36","J. Gibbs","RB","","DannyTheSwift","24"
"156","37","R. Stevenson","RB","","klulaj","32"
"155","38","D. Metcalf","WR","","Nunchuker","26"
"154","39","J. Mixon","RB","","Crogkiller","35"
"153","40","L. Jackson","QB","","Hurwitz","28"
"152","41","D. Samuel","WR","","lmamut925","18"
"151","42","C. Ridley","WR","","vrael28","28"
"150","43","K. Allen","WR","","Hurwitz","20"
